"DIVISION","REGIONC","UATYP10","CLIMATE_REGION_PUB","TYPEHUQ","YEARMADERANGE","TOTROOMS","NHSLDMEM","KOWNRENT","ELPAY","TOTSQFT_EN","KWH","CUFEETNG","GALLONLP","BTUFO","elec_per_sqft","ntrlgas_per_sqft","propane_per_sqft","fueloil_per_sqft"
"Mountain South","South","Urban area","Hot-Humid","2","2000s",6,2,1,"1",2495,18207.651,0,0,0,7.29765571142285,0,0,0
"East South Central","Northeast","Urban area","Cold/Very Cold","4","* to 1950",5,1,1,"1",1196,4340.87,336.233,0,0,3.62948996655518,0.28113127090301,0,0
"East South Central","Northeast","Urban area","Cold/Very Cold","2","1950s",10,5,1,"1",3363,28683.067,391.343,0,42863.47,8.52901189414214,0.116367231638418,0,12.7456051144811
"East South Central","Northeast","Urban cluster","Cold/Very Cold","2","* to 1950",6,3,1,"1",1848,8751.481,977.71,0,0,4.73564989177489,0.529063852813853,0,0
"Mountain North","Midwest","Urban area","Mixed-Humid","2","1950s",7,5,2,"1",2520,11089.623,693.925,0,0,4.40064404761905,0.275367063492063,0,0
"West South Central","West","Urban area","Marine","2","* to 1950",7,2,1,"1",2820,2851.355,238.774,0,0,1.01111879432624,0.0846716312056738,0,0
"West North Central","West","Urban area","Hot-Dry/Mixed-Dry","2","1990s",4,5,2,"1",1350,18560.43,230.438,0,0,13.7484666666667,0.170694814814815,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","2","2000s",8,4,1,"1",1104,10318.813,494.989,0,0,9.3467509057971,0.448359601449275,0,0
"New England","South","Rural area","Hot-Humid","2","1980s",5,2,1,"1",1248,16385.417,0,275.16,0,13.1293405448718,0,0.220480769230769,0
"West South Central","West","Urban cluster","Marine","2","2010 to 2015",5,6,2,"1",1404,15167.282,0,0,0,10.8029074074074,0,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","3","1980s",3,1,1,"1",680,3132.892,108.163,0,0,4.60719411764706,0.159063235294118,0,0
"Mountain North","Midwest","Urban area","Mixed-Humid","5","1990s",5,1,2,"1",1325,12638.135,0,0,0,9.53821509433962,0,0,0
"West South Central","West","Urban area","Marine","2","1970s",9,2,1,"1",2000,25750.29,0,20.328,0,12.875145,0,0.010164,0
"Middle Atlantic","Midwest","Rural area","Cold/Very Cold","2","1970s",5,2,1,"1",4120,9919.86,0,684.902,0,2.40773300970874,0,0.166238349514563,0
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","3","* to 1950",9,5,2,"2",2797,8196,1111.569,0,0,2.9302824454773,0.39741473006793,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","3","1980s",5,2,1,"1",1603,3845.133,189.016,0,0,2.39871054273238,0.117913911416095,0,0
"Mountain South","South","Urban area","Hot-Humid","5","1980s",6,1,1,"1",1080,6500.742,0,0,0,6.01920555555556,0,0,0
"East South Central","Northeast","Urban area","Mixed-Humid","2","1990s",6,2,1,"1",2801,6073.806,0,0,90736.512,2.16844198500536,0,0,32.3943277400928
"Mountain South","South","Urban area","Hot-Humid","2","1980s",7,2,1,"1",1562,15199.097,0,0,0,9.73053585147247,0,0,0
"Pacific","South","Rural area","Hot-Humid","2","1980s",8,2,1,"1",4140,16689.536,0,0,0,4.03128888888889,0,0,0
"Mountain South","South","Urban area","Hot-Humid","2","2000s",7,1,1,"1",2180,5532.346,0,0,0,2.53777339449541,0,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","2","2000s",7,2,1,"1",2096,5258.167,386.336,0,0,2.50866746183206,0.184320610687023,0,0
"West South Central","West","Urban area","Hot-Humid","5","1970s",5,2,1,"2",2240,10602,225.663,0,0,4.73303571428571,0.100742410714286,0,0
"East North Central","Northeast","Urban cluster","Cold/Very Cold","5","* to 1950",1,1,2,"2",244,2035,184.783,0,0,8.34016393442623,0.75730737704918,0,0
"Mountain South","South","Urban area","Hot-Humid","2","2010 to 2015",7,4,2,"1",2728,20504,0,0,0,7.51612903225806,0,0,0
"Mountain South","South","Urban area","Hot-Humid","2","1980s",7,2,1,"1",1708,14786.847,0,0,0,8.65740456674473,0,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","2","1980s",5,6,2,"1",1470,8945.934,332.47,0,0,6.0856693877551,0.226170068027211,0,0
"New England","South","Rural area","Mixed-Humid","2","1980s",5,2,1,"1",2400,20452,0,0,0,8.52166666666667,0,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","3","2000s",5,4,1,"1",2390,3316.424,147.971,0,0,1.38762510460251,0.0619125523012552,0,0
"East South Central","Northeast","Rural area","Cold/Very Cold","2","1980s",7,4,1,"1",2960,16224.097,885.198,0,0,5.48111385135135,0.299053378378378,0,0
"Mountain North","Midwest","Rural area","Mixed-Humid","1","1980s",7,2,1,"1",1232,6647,0,0,0,5.39529220779221,0,0,0
"Middle Atlantic","Midwest","Urban cluster","Mixed-Humid","5","1960s",5,2,2,"1",928,6412.146,311.021,0,0,6.9096400862069,0.335151939655172,0,0
"Mountain North","Midwest","Urban cluster","Cold/Very Cold","2","1960s",8,2,1,"1",1964,13617.896,1321.739,0,0,6.93375560081466,0.672983197556008,0,0
"East South Central","Northeast","Urban area","Mixed-Humid","5","* to 1950",4,4,2,"1",786,5588,33.209,0,58909.452,7.10941475826972,0.0422506361323155,0,74.9484122137405
"Mountain North","Midwest","Urban area","Cold/Very Cold","2","* to 1950",12,3,1,"1",3600,7610.191,1853.379,0,0,2.11394194444444,0.5148275,0,0
"Pacific","South","Urban area","Mixed-Humid","4","2010 to 2015",3,2,2,"1",992,9889.275,0,0,0,9.96902721774194,0,0,0
"Pacific","South","Urban area","Hot-Humid","2","1970s",5,4,1,"1",1287,14365.067,0,0,0,11.1616682206682,0,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","2","1980s",6,2,1,"1",2078,12271.867,847.52,0,0,5.905614533205,0.407853705486044,0,0
"East South Central","Northeast","Urban area","Mixed-Humid","2","1970s",9,4,1,"1",3350,8463.516,1024.122,0,0,2.52642268656716,0.305708059701493,0,0
"Mountain South","South","Urban area","Hot-Humid","2","1960s",8,2,1,"1",3136,20889.836,0,0,0,6.66129974489796,0,0,0
"Mountain South","South","Urban area","Mixed-Humid","3","* to 1950",7,2,1,"1",2010,6936.93,100.241,0,0,3.45120895522388,0.049871144278607,0,0
"Mountain South","South","Urban area","Hot-Humid","4","2010 to 2015",4,1,2,"1",892,5875.327,0,0,0,6.58668946188341,0,0,0
"Mountain South","South","Urban area","Hot-Humid","3","2000s",5,4,2,"1",986,16947.556,0,0,0,17.1881906693712,0,0,0
"Mountain North","Midwest","Urban area","Cold/Very Cold","2","1950s",3,3,1,"1",749,3117.751,609.138,0,0,4.16255140186916,0.813268357810414,0,0
"South Atlantic","West","Urban area","Cold/Very Cold","2","2000s",10,6,1,"1",3544,12920,515.301,0,0,3.64559819413093,0.145400959367946,0,0
"Mountain North","Midwest","Urban area","Cold/Very Cold","5","1970s",4,2,2,"1",941,7301.733,0,0,0,7.75954622741764,0,0,0
"East South Central","Northeast","Urban area","Cold/Very Cold","5","1970s",4,1,2,"1",1236,4422.965,0,0,0,3.57845064724919,0,0,0
"Mountain North","Midwest","Rural area","Cold/Very Cold","2","1950s",8,5,1,"1",4250,16437.55,0,0,0,3.86765882352941,0,0,0
"Mountain South","South","Rural area","Mixed-Humid","2","1980s",8,2,1,"1",3145,31806.798,0,0,0,10.1134492845787,0,0,0
"Mountain South","South","Rural area","Hot-Humid","1","1970s",5,1,1,"1",1656,6667.047,0,88.124,0,4.02599456521739,0,0.0532149758454106,0
"Mountain South","South","Urban area","Mixed-Humid","2","1990s",11,2,1,"1",4778,14398.387,1349.237,0,0,3.01347572205944,0.282385307660109,0,0
"West North Central","West","Urban area","Hot-Dry/Mixed-Dry","2","1990s",6,4,1,"1",2235,16616.226,361.491,0,0,7.43455302013423,0.161740939597315,0,0
"East South Central","Northeast","Rural area","Cold/Very Cold","1","2000s",5,4,2,"1",938,18137.89,0,0,0,19.3367697228145,0,0,0
"Pacific","South","Urban area","Hot-Humid","2","1980s",5,4,1,"1",1027,37533.176,0,0,0,36.5464225900682,0,0,0
"East North Central","Northeast","Urban cluster","Cold/Very Cold","2","1980s",6,2,1,"1",2070,3496.527,0,0,0,1.68914347826087,0,0,0
"New England","South","Rural area","Mixed-Humid","1","1970s",3,2,1,"1",630,16602.605,0,12.885,0,26.3533412698413,0,0.020452380952381,0
"East South Central","Northeast","Rural area","Cold/Very Cold","2","2000s",12,2,1,"1",3972,27092.926,0,23.593,0,6.82097834843907,0,0.00593982880161128,0
"South Atlantic","West","Urban area","Cold/Very Cold","3","1980s",6,4,2,"1",1190,4279.049,355.793,0,0,3.59583949579832,0.298985714285714,0,0
"East North Central","Northeast","Rural area","Cold/Very Cold","2","1970s",8,2,1,"1",2184,7374,0,972.444,0,3.37637362637363,0,0.445258241758242,0
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","2","1970s",6,3,1,"1",2886,7968.18,978.288,0,0,2.76097713097713,0.338977130977131,0,0
"New England","South","Urban area","Hot-Humid","2","* to 1950",3,1,2,"1",672,2713.984,227.418,0,0,4.03866666666667,0.338419642857143,0,0
"West South Central","West","Urban area","Cold/Very Cold","3","1960s",4,2,2,"1",675,9167.94,246.087,0,0,13.5821333333333,0.364573333333333,0,0
"Mountain North","Midwest","Urban area","Mixed-Humid","2","1960s",6,1,1,"1",2574,4094.475,580.112,0,0,1.59070512820513,0.225373737373737,0,0
"East South Central","Northeast","Urban area","Cold/Very Cold","2","* to 1950",8,3,1,"1",2150,7529,1211.079,0,0,3.50186046511628,0.563292558139535,0,0
"Middle Atlantic","Midwest","Urban cluster","Cold/Very Cold","3","* to 1950",4,2,2,"1",1716,5571.229,601.061,0,0,3.24663694638695,0.350268648018648,0,0
"Mountain South","South","Rural area","Mixed-Humid","2","1960s",7,2,1,"1",1740,11035.105,0,0,23850.827,6.34201436781609,0,0,13.7073718390805
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","2","* to 1950",8,3,1,"1",2183,3604.006,657.675,0,0,1.65094182317911,0.301271186440678,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","2","1970s",8,1,1,"1",1296,5085,319.066,0,0,3.92361111111111,0.246192901234568,0,0
"Mountain South","South","Urban area","Hot-Humid","2","1990s",8,2,1,"1",2140,22011.588,159.03,0,0,10.2857887850467,0.0743130841121495,0,0
"East South Central","Northeast","Urban area","Cold/Very Cold","4","* to 1950",2,6,2,"1",1000,10373,859.156,0,0,10.373,0.859156,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","2","* to 1950",4,1,2,"1",892,8610.422,158.897,0,0,9.65293946188341,0.178135650224215,0,0
"West South Central","West","Urban area","Marine","2","1970s",6,2,1,"1",919,9780,499.257,0,0,10.6420021762786,0.543261153427639,0,0
"Mountain South","South","Urban area","Hot-Humid","2","1980s",8,3,1,"1",4156,21476.056,0,0,0,5.16748219441771,0,0,0
"Mountain South","South","Rural area","Hot-Humid","1","2000s",5,3,2,"1",1300,20493.389,0,0,0,15.7641453846154,0,0,0
"New England","South","Urban cluster","Hot-Humid","2","1970s",4,5,1,"1",1452,22864.621,42.037,0,0,15.7469841597796,0.0289511019283747,0,0
"East South Central","Northeast","Urban area","Mixed-Humid","5","1970s",1,1,2,"9",905,2412,387.125,0,0,2.66519337016575,0.427762430939227,0,0
"South Atlantic","West","Urban area","Cold/Very Cold","5","1980s",3,1,2,"2",672,6409,0,0,0,9.53720238095238,0,0,0
"Mountain South","South","Urban area","Mixed-Humid","2","2000s",9,4,1,"1",2946,16158.1,478.27,0,0,5.48475899524779,0.1623455532926,0,0
"West South Central","West","Urban area","Marine","5","1970s",3,2,2,"1",815,2560.488,0,0,0,3.14170306748466,0,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","2","1990s",7,3,1,"1",1358,6963.906,455.194,0,0,5.12806038291605,0.33519440353461,0,0
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","2","1990s",5,2,1,"1",2408,11575.922,1142.866,0,0,4.80727657807309,0.474612126245847,0,0
"New England","South","Urban area","Hot-Humid","4","1990s",3,1,1,"1",1767,8633.115,0,0,0,4.88574702886248,0,0,0
"East South Central","Northeast","Rural area","Cold/Very Cold","2","* to 1950",7,3,1,"1",3045,8039.742,0,831.146,0,2.64030935960591,0,0.272954351395731,0
"West North Central","West","Urban area","Hot-Dry/Mixed-Dry","5","1990s",4,1,2,"1",865,2565.832,490.457,0,0,2.96627976878613,0.567002312138728,0,0
"Middle Atlantic","Midwest","Urban cluster","Cold/Very Cold","1","1970s",5,2,1,"1",1453,6563.091,832.292,0,0,4.51692429456297,0.572809359944942,0,0
"East North Central","Northeast","Urban area","Cold/Very Cold","4","* to 1950",3,2,2,"1",800,4688.806,613.867,0,0,5.8610075,0.76733375,0,0
"Mountain South","South","Urban area","Hot-Humid","4","2000s",5,3,2,"1",1349,12678.598,0,0,0,9.39851593773165,0,0,0
"East North Central","Northeast","Rural area","Cold/Very Cold","1","1980s",4,3,1,"1",832,6259.382,0,0,25003.378,7.52329567307692,0,0,30.0521370192308
"New England","South","Urban cluster","Mixed-Humid","4","2000s",3,1,2,"1",490,5174.484,0,0,0,10.5601714285714,0,0,0
"South Atlantic","West","Rural area","Cold/Very Cold","1","1970s",5,2,1,"1",1199,10686.383,650.178,0,0,8.91274645537948,0.542266889074228,0,0
"West North Central","West","Rural area","Cold/Very Cold","1","1980s",6,2,1,"1",990,16900.598,0,620.195,0,17.0713111111111,0,0.626459595959596,0
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","2","1970s",11,5,1,"1",3840,14018.1,1096.448,0,0,3.650546875,0.285533333333333,0,0
"Mountain North","Midwest","Urban area","Cold/Very Cold","3","2000s",5,2,2,"1",1605,7889,457.102,0,0,4.91526479750779,0.284798753894081,0,0
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","2","1950s",5,2,1,"1",3630,6141.51,633.261,0,0,1.69187603305785,0.174452066115702,0,0
"New England","South","Rural area","Hot-Humid","2","1980s",8,2,1,"1",1720,7986,0,0,0,4.64302325581395,0,0,0
"West South Central","West","Rural area","Cold/Very Cold","2","2000s",5,1,1,"1",1456,23532.301,0,0,0,16.1622946428571,0,0,0
"West South Central","West","Urban area","Marine","1","1990s",5,2,1,"1",1100,10904,0,0,0,9.91272727272727,0,0,0
"East South Central","Northeast","Urban area","Cold/Very Cold","3","1950s",4,3,2,"1",1768,7462.499,1100.342,0,0,4.22087047511312,0.622365384615385,0,0
"Mountain South","South","Urban area","Hot-Humid","5","1980s",2,1,1,"1",687,4380.161,0,0,0,6.37578020378457,0,0,0
"East North Central","Northeast","Rural area","Cold/Very Cold","2","* to 1950",9,2,1,"1",1181,6202.747,0,1191.855,0,5.25211430990686,0,1.00919136325148,0
"South Atlantic","West","Urban area","Cold/Very Cold","3","1960s",4,3,1,"1",964,3354.867,347.021,0,0,3.48015248962656,0.359980290456432,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","2","2010 to 2015",8,4,1,"1",1918,11917.165,510.747,0,0,6.21332898852972,0.266291449426486,0,0
"West North Central","West","Urban area","Hot-Dry/Mixed-Dry","2","1980s",5,2,1,"1",1381,9630.307,0,0,0,6.9734301230992,0,0,0
"West South Central","West","Urban area","Marine","2","2000s",8,4,1,"1",4900,22633,528.494,0,0,4.61897959183673,0.107855918367347,0,0
"West South Central","West","Urban cluster","Cold/Very Cold","2","1990s",5,3,1,"1",1142,15589.408,0,0,0,13.6509702276708,0,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","2","1970s",5,2,1,"9",927,6069.6,1091.462,0,0,6.54757281553398,1.17741316073355,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","3","1970s",5,1,1,"1",2390,3870.447,292.221,0,0,1.61943389121339,0.12226820083682,0,0
"West South Central","West","Urban area","Hot-Humid","5","1960s",4,3,2,"1",766,5230.023,0,0,0,6.82770626631854,0,0,0
"East North Central","Northeast","Urban area","Cold/Very Cold","2","1970s",7,2,1,"1",2634,13485.727,0,0,125297.063,5.11986598329537,0,0,47.5691203492787
"New England","South","Rural area","Mixed-Humid","2","1950s",5,4,2,"1",1562,23402,0,0,0,14.9820742637644,0,0,0
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","2","1950s",5,5,2,"1",2609,7344.494,1443.754,0,0,2.81506094289,0.553374472978153,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","2","1990s",11,5,1,"1",6426,14709,791.151,0,0,2.28898225957049,0.123117180205415,0,0
"Pacific","South","Urban area","Hot-Humid","2","1960s",5,4,1,"1",1440,19462.176,294.995,0,0,13.5154,0.204857638888889,0,0
"Middle Atlantic","Midwest","Rural area","Cold/Very Cold","2","* to 1950",7,1,1,"1",2652,7134,810.527,0,0,2.69004524886878,0.305628582202112,0,0
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","5","1990s",4,4,2,"1",943,4513,0,0,0,4.78579003181336,0,0,0
"East North Central","Northeast","Urban cluster","Cold/Very Cold","5","* to 1950",2,1,2,"2",506,2725,315.355,47.927,0,5.38537549407115,0.623231225296443,0.0947173913043478,0
"West South Central","West","Urban area","Hot-Humid","5","1970s",5,2,1,"1",1555,5025.943,69.766,0,0,3.23211768488746,0.0448655948553055,0,0
"Pacific","South","Rural area","Hot-Humid","2","1990s",6,2,1,"1",1288,20896.464,0,0,0,16.2239627329193,0,0,0
"East North Central","Northeast","Urban cluster","Cold/Very Cold","2","* to 1950",9,2,1,"1",2947,11863.854,0,184.895,108440.814,4.02573939599593,0,0.0627400746521887,36.7970186630472
"Mountain South","South","Rural area","Mixed-Humid","2","2000s",6,3,1,"1",1574,13902.599,0,0,0,8.83265501905972,0,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","5","1970s",1,2,2,"1",803,3833,164.701,0,0,4.7733499377335,0.205107098381071,0,0
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","5","2010 to 2015",5,4,2,"1",819,10456,18.324,0,0,12.7667887667888,0.0223736263736264,0,0
"Pacific","South","Rural area","Hot-Humid","2","1950s",3,1,3,"9",1655,11879,0,133.902,0,7.17764350453172,0,0.0809075528700906,0
"West South Central","West","Rural area","Hot-Dry/Mixed-Dry","2","1990s",9,6,1,"1",2953,13931.065,0,773.579,0,4.71759735861835,0,0.261963765662039,0
"West South Central","West","Urban area","Marine","2","1950s",9,2,1,"1",3662,9470.361,383.526,0,0,2.58611714909885,0.104731294374659,0,0
"Mountain South","South","Urban area","Mixed-Humid","3","1970s",4,2,1,"1",1183,11090.046,0,0,0,9.37451056635672,0,0,0
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","4","1970s",4,3,2,"1",803,9949.409,0,0,0,12.390297633873,0,0,0
"South Atlantic","West","Rural area","Cold/Very Cold","2","2000s",7,2,1,"2",2480,7047,870.355,0,0,2.84153225806452,0.350949596774194,0,0
"Mountain North","Midwest","Urban area","Mixed-Humid","2","2000s",10,4,1,"1",2872,11353.754,0,0,0,3.9532569637883,0,0,0
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","2","1980s",7,4,1,"1",3362,6730.265,1297.556,0,0,2.00186347412255,0.385947650208209,0,0
"East South Central","Northeast","Urban area","Cold/Very Cold","2","1990s",7,1,1,"1",2080,9774.622,0,0,0,4.6993375,0,0,0
"East North Central","Northeast","Urban area","Cold/Very Cold","2","1970s",7,2,1,"1",2550,4830.316,861.07,0,0,1.89424156862745,0.337674509803922,0,0
"West North Central","West","Urban area","Hot-Dry/Mixed-Dry","2","1970s",6,1,1,"1",2111,4360.433,662.156,0,0,2.06557697773567,0.313669351018475,0,0
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","2","1980s",12,4,1,"1",4784,9155.412,1420.298,0,0,1.91375668896321,0.296885033444816,0,0
"East North Central","Northeast","Urban area","Cold/Very Cold","2","* to 1950",12,2,1,"1",3600,15883.015,851.141,0,0,4.41194861111111,0.236428055555556,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","5","1960s",3,2,2,"1",1004,1130.177,5.451,0,0,1.12567430278884,0.0054292828685259,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","5","1980s",5,5,2,"1",949,6001.493,37.72,0,0,6.32401791359326,0.0397471022128556,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","3","1980s",6,1,1,"1",2237,6688.895,325.094,0,0,2.9901184622262,0.145325882878856,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","5","1980s",4,1,2,"1",818,4465.923,266.399,0,0,5.45956356968215,0.325671149144254,0,0
"New England","South","Urban area","Mixed-Humid","2","1960s",8,2,1,"1",1911,7975.089,343.279,0,0,4.17325431711146,0.179633176347462,0,0
"West North Central","West","Urban area","Hot-Dry/Mixed-Dry","4","* to 1950",4,2,2,"1",729,8004.067,112.24,0,0,10.9795157750343,0.153964334705075,0,0
"East North Central","Northeast","Urban cluster","Cold/Very Cold","3","1990s",7,1,1,"1",2092,2937.052,0,542.212,0,1.40394455066922,0,0.259183556405354,0
"East South Central","Northeast","Urban area","Mixed-Humid","5","1970s",1,4,2,"1",592,2715.966,423.357,0,0,4.58778040540541,0.715130067567568,0,0
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","4","1960s",7,4,2,"1",1518,4809.919,1016.358,0,0,3.16858959156785,0.669537549407115,0,0
"New England","South","Urban area","Mixed-Humid","2","* to 1950",8,3,1,"1",3588,13999.774,651.833,0,0,3.90183221850613,0.181670289855072,0,0
"Mountain South","South","Urban area","Hot-Humid","2","2000s",9,2,1,"1",5470,33401.02,592.497,0,0,6.10621937842779,0.108317550274223,0,0
"East South Central","Northeast","Urban area","Mixed-Humid","2","1950s",7,4,1,"1",2645,12876.378,0,0,125958.724,4.86819584120983,0,0,47.6214457466919
"Mountain South","South","Urban area","Mixed-Humid","2","1980s",7,4,1,"1",3232,20599.176,0,0,0,6.37350742574257,0,0,0
"Pacific","South","Rural area","Hot-Humid","2","2000s",8,1,2,"1",2052,20336.343,0,0,0,9.9104985380117,0,0,0
"East South Central","Northeast","Rural area","Cold/Very Cold","2","* to 1950",14,3,1,"1",3528,23353.734,2001.785,0,0,6.61953911564626,0.567399376417234,0,0
"New England","South","Rural area","Mixed-Humid","2","* to 1950",4,1,2,"1",1040,11415.567,0,286.632,0,10.9765067307692,0,0.275607692307692,0
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","2","1950s",10,4,1,"1",3096,6595.343,752.824,0,0,2.13027874677003,0.243160206718346,0,0
"Middle Atlantic","Midwest","Urban cluster","Mixed-Humid","2","1980s",8,1,1,"1",2560,17242.645,0,0,0,6.735408203125,0,0,0
"Mountain South","South","Urban area","Mixed-Humid","2","1970s",11,6,1,"1",3927,17450.194,0,0,75760.262,4.44364502164502,0,0,19.2921471861472
"New England","South","Urban area","Mixed-Humid","2","* to 1950",6,3,1,"1",1122,9454.157,563.614,0,0,8.42616488413547,0.502329768270945,0,0
"Pacific","South","Urban cluster","Hot-Humid","2","1990s",5,3,1,"1",1844,8801.987,358.723,0,0,4.77331182212581,0.194535249457701,0,0
"West South Central","West","Urban cluster","Marine","3","1990s",4,2,2,"2",911,12071,0,0,0,13.2502744237102,0,0,0
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","2","1960s",7,2,1,"1",2909,12549.529,956.029,0,0,4.31403540735648,0.328645238913716,0,0
"New England","South","Rural area","Hot-Humid","2","1980s",9,5,1,"1",1714,23237.792,0,0,0,13.5576382730455,0,0,0
"West South Central","West","Urban cluster","Cold/Very Cold","2","* to 1950",8,2,1,"1",2965,23637.574,0,0,0,7.97220033726813,0,0,0
"Mountain South","South","Rural area","Mixed-Humid","1","1990s",4,2,1,"1",1008,13874.29,0,0,0,13.7641765873016,0,0,0
"Mountain South","South","Urban area","Mixed-Humid","2","* to 1950",5,2,1,"1",2220,18685.351,0,187.82,0,8.41682477477477,0,0.0846036036036036,0
"South Atlantic","West","Urban area","Cold/Very Cold","5","1960s",5,4,2,"1",994,5129.411,373.937,0,0,5.16037323943662,0.37619416498994,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","2","* to 1950",8,4,1,"1",1660,4827.179,180.595,0,0,2.90793915662651,0.108792168674699,0,0
"Mountain South","South","Urban area","Mixed-Humid","2","1960s",7,2,2,"1",1576,20553.969,0,0,0,13.0418585025381,0,0,0
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","2","1990s",9,3,1,"1",4202,9962.058,1510.919,0,0,2.37078962398858,0.359571394574012,0,0
"Mountain North","Midwest","Urban area","Cold/Very Cold","4","1950s",3,2,2,"1",576,2611.82,341.463,0,0,4.53440972222222,0.592817708333333,0,0
"Mountain South","South","Urban area","Mixed-Humid","5","2000s",4,4,2,"1",1213,21644.363,0,0,0,17.8436628194559,0,0,0
"East South Central","Northeast","Urban area","Mixed-Humid","5","1960s",2,1,1,"2",580,4420.356,80.817,0,8772.95,7.62130344827586,0.139339655172414,0,15.125775862069
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","2","1960s",5,2,1,"1",2650,11365.456,1243.58,0,0,4.28885132075472,0.469275471698113,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","5","1980s",4,4,2,"1",900,7515.742,286.909,0,0,8.35082444444445,0.318787777777778,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","5","1970s",3,3,2,"2",740,4276.683,124.688,0,0,5.77930135135135,0.168497297297297,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","5","1970s",3,4,2,"1",621,4830.762,163.848,0,0,7.77900483091787,0.263845410628019,0,0
"East South Central","Northeast","Rural area","Cold/Very Cold","2","1970s",7,2,1,"1",1977,8936,0,0,0,4.51997976732423,0,0,0
"East South Central","Northeast","Urban area","Mixed-Humid","5","2010 to 2015",4,4,2,"3",1307,8375,18.879,0,0,6.40780413159908,0.0144445294567712,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","2","2000s",8,8,2,"1",2077,15268.573,862.444,0,0,7.35126287915262,0.415235435724603,0,0
"East South Central","Northeast","Urban area","Mixed-Humid","5","1980s",3,2,2,"1",716,2219.628,73.536,0,0,3.10003910614525,0.102703910614525,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","2","1990s",5,4,1,"1",3200,13639.29,0,439.077,0,4.262278125,0,0.1372115625,0
"East North Central","Northeast","Urban area","Cold/Very Cold","3","* to 1950",4,4,2,"1",1403,7840.018,752.274,0,0,5.58803848895224,0.536189593727726,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","3","1950s",6,4,2,"1",1888,3732.242,369.126,0,0,1.97682309322034,0.195511652542373,0,0
"Middle Atlantic","Midwest","Urban area","Cold/Very Cold","2","* to 1950",8,1,1,"1",3564,5599.305,918.153,0,0,1.57107323232323,0.257618686868687,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","2","1960s",7,2,1,"1",2268,12407.846,298.827,0,0,5.4708315696649,0.131757936507937,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","2","1970s",6,3,2,"1",1832,5729.461,431.303,0,0,3.12743504366812,0.235427401746725,0,0
"West South Central","West","Urban area","Hot-Dry/Mixed-Dry","2","2000s",7,3,1,"1",3252,6176.433,288.818,0,0,1.8992721402214,0.0888124231242312,0,0
"Mountain South","South","Urban area","Mixed-Humid","3","1980s",7,2,1,"1",1955,9294.278,355.758,0,0,4.75410639386189,0.181973401534527,0,0
"Mountain North","Midwest","Urban area","Mixed-Humid","5","1980s",5,4,2,"1",663,14849.486,0,0,0,22.3974147812971,0,0,0
